"_id",status.statusCode,status.statusMessage
6305fba4e947a9033ff02437,INITIATED,"Payment initiated , redirected to payment gateway"
6319bf79b3bff06aec1541e1,INITIATED,"Payment initiated , redirected to payment gateway"
6319c06bb3bff06aec154224,INITIATED,"Payment initiated , redirected to payment gateway"
6319c10eb3bff06aec15422a,INITIATED,"Payment initiated , redirected to payment gateway"
631edc2f37733d4fc4a5924b,INITIATED,"Payment initiated , redirected to payment gateway"
631edcd337733d4fc4a592b0,INITIATED,"Payment initiated , redirected to payment gateway"
631eddc537733d4fc4a592c4,INITIATED,"Payment initiated , redirected to payment gateway"
631ef7df37733d4fc4a5935f,INITIATED,"Payment initiated , redirected to payment gateway"
631ef7e137733d4fc4a59363,INITIATED,"Payment initiated , redirected to payment gateway"
631ef82237733d4fc4a59369,INITIATED,"Payment initiated , redirected to payment gateway"
631f048937733d4fc4a5944d,INITIATED,"Payment initiated , redirected to payment gateway"
632818bbb9f26a33d118c3a4,INITIATED,"Payment initiated , redirected to payment gateway"
633eb653c8371c7c1292ce98,INITIATED,"Payment initiated , redirected to payment gateway"
633eb655c8371c7c1292ce9c,INITIATED,"Payment initiated , redirected to payment gateway"
633eb65ac8371c7c1292cea0,INITIATED,"Payment initiated , redirected to payment gateway"
633eb65bc8371c7c1292cea4,INITIATED,"Payment initiated , redirected to payment gateway"
633eb733c8371c7c1292cecc,INITIATED,"Payment initiated , redirected to payment gateway"
633eb734c8371c7c1292ced0,INITIATED,"Payment initiated , redirected to payment gateway"
633eb789c8371c7c1292cf11,INITIATED,"Payment initiated , redirected to payment gateway"
633eb78bc8371c7c1292cf15,INITIATED,"Payment initiated , redirected to payment gateway"
633fb6565e654265068564a9,INITIATED,"Payment initiated , redirected to payment gateway"
633fb6575e654265068564ad,INITIATED,"Payment initiated , redirected to payment gateway"
633fbc805e654265068564f0,INITIATED,"Payment initiated , redirected to payment gateway"
633fbc825e654265068564f4,INITIATED,"Payment initiated , redirected to payment gateway"
637dc064a4d4973a6a5172a1,FAILURE,
637dc065a4d4973a6a5172a4,FAILURE,
637dc07ca4d4973a6a5172a7,FAILURE,
637dc07ca4d4973a6a5172a9,FAILURE,
637de952a4d4973a6a5173bb,INITIATED,"Payment initiated , redirected to payment gateway"
637de953a4d4973a6a5173bf,INITIATED,"Payment initiated , redirected to payment gateway"
6380d0976a480b7df82c588f,INITIATED,"Payment initiated , redirected to payment gateway"
639ac2cb56296f2479a6624e,INITIATED,"Payment initiated , redirected to payment gateway"
639ac2cf56296f2479a66252,INITIATED,"Payment initiated , redirected to payment gateway"
639ac2d356296f2479a66256,INITIATED,"Payment initiated , redirected to payment gateway"
639ac2d456296f2479a6625a,INITIATED,"Payment initiated , redirected to payment gateway"
639ac3df56296f2479a66271,INITIATED,"Payment initiated , redirected to payment gateway"
639ac3e056296f2479a66275,INITIATED,"Payment initiated , redirected to payment gateway"
639acf1c56296f2479a662d0,INITIATED,"Payment initiated , redirected to payment gateway"
639acf1c56296f2479a662d4,INITIATED,"Payment initiated , redirected to payment gateway"
639ae66556296f2479a662e6,INITIATED,"Payment initiated , redirected to payment gateway"
639ae66756296f2479a662ea,INITIATED,"Payment initiated , redirected to payment gateway"
63ad4fd4ad61123d2f205186,INITIATED,"Payment initiated , redirected to payment gateway"
63aee0a889bf0352243f6df2,INITIATED,"Payment initiated , redirected to payment gateway"
63aeff924c1cb3029992bb7f,INITIATED,"Payment initiated , redirected to payment gateway"
63af0c5f4c1cb3029992bbbe,INITIATED,"Payment initiated , redirected to payment gateway"
63af0c744c1cb3029992bbc9,INITIATED,"Payment initiated , redirected to payment gateway"
63b28c204c1cb3029992bc91,INITIATED,"Payment initiated , redirected to payment gateway"
63b4065ad2c5d9696f1fa244,FAILURE,Transaction not completed
63b406ccd2c5d9696f1fa260,INITIATED,"Payment initiated , redirected to payment gateway"
63b40d80d2c5d9696f1fa2c5,INITIATED,"Payment initiated , redirected to payment gateway"
63b43b97a3f8327a5123b5ad,INITIATED,"Payment initiated , redirected to payment gateway"
63b559c41316793059603364,FAILURE,Transaction not completed
63b5608e131679305960338e,FAILURE,Transaction not completed
63b5641a13167930596033aa,FAILURE,Transaction not completed
